number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,user_attrs_accuracy,user_attrs_co2_kg,user_attrs_training_time,state
0,0.4432832843945934,2025-10-22 20:32:06.007766,2025-10-22 20:39:24.775592,0 days 00:07:18.767826,64,0.5758478027943699,0.0030866867623917044,6.281211918677545e-05,75.08,0.011940832843945934,433.20490407943726,COMPLETE
1,0.3722388603822653,2025-10-22 20:39:24.781412,2025-10-22 20:45:43.202155,0 days 00:06:18.420743,256,0.658247652146821,0.008462581086139943,0.00018758988254499525,67.5,0.010472388603822654,372.9910533428192,COMPLETE
2,0.48836760748791086,2025-10-22 20:45:43.206544,2025-10-22 20:53:09.324371,0 days 00:07:26.117827,64,0.44055908215976647,0.0017011858108255122,1.698612692121642e-05,72.73,0.01215667607487911,441.0039370059967,COMPLETE
3,0.3437449587328405,2025-10-22 20:53:09.328284,2025-10-22 20:59:19.762257,0 days 00:06:10.433973,256,0.6225962536150897,0.00014949522109125973,2.3387602014100386e-05,68.48,0.010285449587328407,364.7039828300476,COMPLETE
4,0.4494820119916363,2025-10-22 20:59:19.766441,2025-10-22 21:06:28.203170,0 days 00:07:08.436729,64,0.6498835039437213,0.00012937623876065396,0.00026041222585919014,71.78,0.011672820119916362,422.97354555130005,COMPLETE
5,0.4800915526780566,2025-10-22 21:06:28.205537,2025-10-22 21:13:45.938756,0 days 00:07:17.733219,64,0.6858355754846914,0.005849425181090243,1.0302442016463903e-05,71.2,0.011920915526780566,432.4228699207306,COMPLETE
6,0.28421999338975046,2025-10-22 21:13:45.943729,2025-10-22 21:19:50.894551,0 days 00:06:04.950822,256,0.4078426198188469,0.0017091555463462364,2.5949317292751157e-05,73.34,0.010176199933897505,359.34132075309753,COMPLETE
7,0.33453222529054594,2025-10-22 21:19:50.899980,2025-10-22 21:26:07.386266,0 days 00:06:16.486286,256,0.6229230769346391,0.0061378996645325545,1.6035347655519236e-05,70.69,0.010414322252905459,370.741774559021,COMPLETE
8,0.4584131869713707,2025-10-22 21:26:07.388936,2025-10-22 21:33:21.569444,0 days 00:07:14.180508,64,0.5326630652778468,0.00017912165205023476,0.0008267678088125696,72.45,0.011829131869713707,429.0000033378601,COMPLETE
9,-0.5484003452926911,2025-10-22 21:33:21.571954,2025-10-22 21:40:40.942848,0 days 00:07:19.370894,64,0.682832350390344,0.007965993335008598,0.0003331626721356601,59.01,0.0004169965470730886,433.24535846710205,COMPLETE
10,0.39333120672594657,2025-10-22 21:40:40.946396,2025-10-22 21:47:33.286131,0 days 00:06:52.339735,128,0.4924210272111811,0.0004511516692645549,0.0006756676265225635,73.01,0.011234312067259467,407.14601278305054,COMPLETE
11,0.3627828248967899,2025-10-22 21:47:33.290759,2025-10-22 21:54:21.353324,0 days 00:06:48.062565,128,0.33760743350594064,0.0009720175604411034,7.73933589702146e-05,74.82,0.011109828248967899,402.68956303596497,COMPLETE
12,0.19148760420125965,2025-10-22 21:54:21.357344,2025-10-22 21:59:47.748024,0 days 00:05:26.390680,256,0.38105340818162753,0.0025360007338042644,0.00027904327028882754,72.88,0.009202876042012597,321.3743953704834,COMPLETE
13,0.17578957509029314,2025-10-22 21:59:47.750661,2025-10-22 22:05:09.746517,0 days 00:05:21.995856,256,0.3251301121545359,0.0032813735441621847,0.00035872216055071173,73.26,0.009083895750902932,316.9184715747833,COMPLETE
14,0.3967011351287524,2025-10-22 22:05:09.748691,2025-10-22 22:11:56.408624,0 days 00:06:46.659933,128,0.3158061193481514,0.004039704083924426,0.00042392497288825986,71.53,0.011120011351287524,401.48743510246277,COMPLETE
15,0.5947197007585352,2025-10-22 22:11:56.410666,2025-10-22 22:19:10.849757,0 days 00:07:14.439091,64,0.47798866400555995,0.009773506340816144,0.00013469277082419728,58.94,0.01184119700758535,429.56164026260376,COMPLETE
16,0.2395517485484886,2025-10-22 22:19:10.854297,2025-10-22 22:24:56.401239,0 days 00:05:45.546942,256,0.5489353983987331,0.0008010451086913745,0.00045428900643412995,72.79,0.009674517485484887,340.4107344150543,COMPLETE
17,0.2691325017564795,2025-10-22 22:24:56.404870,2025-10-22 22:30:54.007169,0 days 00:05:57.602299,256,0.3649744774737003,0.004195221216259521,0.00011787354632948483,72.31,0.009922325017564796,352.4978313446045,COMPLETE
18,0.42598140674190976,2025-10-22 22:30:54.010912,2025-10-22 22:38:07.999940,0 days 00:07:13.989028,64,0.43884157175710103,0.0018407535403328714,4.437181658894158e-05,75.7,0.011829814067419097,429.0246331691742,COMPLETE
19,0.3676820088850715,2025-10-22 22:38:08.004304,2025-10-22 22:44:52.906054,0 days 00:06:44.901750,128,0.5886111197201919,0.00033276767950388375,0.0004726223233595686,73.49,0.011025820088850715,399.60089802742004,COMPLETE
