epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,1.5634948451195836,42.934,1.3540981992890564,50.49,44.92154288291931
2,1.2410766291801276,55.1,1.1434631815439538,58.66,44.82491612434387
3,1.0971299940362915,60.844,1.040687395047538,62.88,43.08775234222412
4,1.0066214995006162,64.53,1.0138297926021527,63.56,43.58828783035278
5,0.942996815494869,66.64,0.9391540613355516,66.78,42.66477704048157
6,0.888737624411083,68.564,0.9150745001020311,68.44,42.653759717941284
7,0.842183372553657,70.582,0.8466736063172545,70.7,42.58377552032471
8,0.8041763612071572,71.918,0.8355825739570811,70.32,42.2417848110199
9,0.7789559931401402,72.778,0.8072568185721771,71.93,42.81329607963562
10,0.7425627472150661,73.996,0.8091077827200105,71.98,42.46093821525574
11,0.729507450481205,74.336,0.7809749456900584,73.3,42.10180330276489
12,0.6988766960170872,75.378,0.7776191272313082,72.98,41.03627634048462
13,0.6853453811934537,76.09,0.7528391910504691,73.59,41.83501434326172
14,0.6641424937016519,76.76,0.7436325165289867,73.77,49.7930805683136
15,0.6508503377894916,77.15,0.7760803714583192,73.87,40.698798179626465
16,0.6377437621583719,77.608,0.7268736034254485,75.24,41.35654425621033
17,0.626523123753955,78.172,0.7013296345366707,75.57,41.51731991767883
18,0.6095097842423812,78.542,0.709537494786178,75.67,40.888007164001465
19,0.6022455522318935,78.864,0.7149171908444996,75.66,40.9794020652771
20,0.5940286097166788,79.306,0.7123542322388178,75.77,40.173604249954224
